1500,7524,16156,-252,-84,45
1076,7624,15688,-229,136,-118
1764,7428,15316,53,-252,-208
2332,7204,14360,573,249,306
1440,7260,14708,1391,-451,383
1484,7116,14876,1676,-149,375
1560,7228,14668,1669,-662,285
1796,7628,15816,1206,-1635,126
2164,7616,16068,757,-629,248
2060,7988,16648,146,-745,147
1972,7972,16676,-608,779,166
1636,7708,15348,-719,1506,50
1936,7456,15072,-461,413,-28
1836,7316,15240,-221,888,142
1632,7168,14224,33,676,174
1500,7032,14096,646,206,169
1652,7128,14592,1218,-785,256
1452,7460,15704,1431,-1029,206
2540,7864,16448,511,-1437,154
2396,7844,15644,447,379,665
1808,7952,15632,514,-489,664
1844,7836,15576,378,939,706
1064,7820,14928,71,161,285
1244,7336,14588,405,452,120
1352,7320,14240,828,-166,-160
1828,7328,14704,1202,-223,-253
2008,7632,14956,1403,-397,-63
2172,7772,15500,1536,-716,110
1704,8204,16748,903,-1080,222
1664,8428,16564,94,-105,410
2600,8036,14804,125,-713,816
1956,8124,14952,799,-1158,835
1744,7896,14900,1136,-816,701
2120,7736,14440,1507,-487,512
2000,7900,14748,2012,-779,338
2108,8076,15504,1892,-1115,332
1304,8284,16408,1322,-504,189
1144,8348,16772,578,-444,-177
744,8216,17128,-528,-867,-641
896,8112,17096,-1199,-1478,-1029
-180,8444,18464,-2458,-1726,-2224
2276,8032,17208,-3914,132,-2283
2088,7544,14636,-3694,968,-2474
3228,7392,14980,-3669,-1638,-2480
5496,7012,13360,-3294,1075,-754
1720,7152,12320,-1870,2834,-374
1296,6956,13088,-713,1463,-633
1436,7504,15292,-796,-1243,-999
1328,7680,16340,-1087,-1366,-496
1736,7544,15988,-1436,-1238,-943
1136,7532,15412,-999,-1259,-1442
2388,7436,14428,-449,-755,-928
2968,6980,13168,382,-522,-883
2828,7064,13216,1271,-1174,-543
2864,6904,13768,2050,-1006,-58
2276,7120,14520,3007,-1416,260
2084,7088,14704,3543,-1365,340
1724,7392,14496,4060,-2458,312
1816,7424,14716,4585,-3481,140
1672,7704,14112,5738,-3779,-102
1840,7888,14220,6946,-4817,-542
1980,7856,14304,8266,-5587,-1030
1420,8200,14084,9613,-6736,-1513
2796,7952,13736,10568,-8229,-1669
3084,8216,13120,11440,-8919,-1310
3816,8636,12812,12236,-9769,-816
4664,8880,13600,12659,-10908,-573
5664,9600,14592,11680,-9666,-182
6116,9604,14548,9921,-7167,76
6108,9600,13512,8523,-3427,459
5528,9380,12164,7623,-197,622
3020,9552,11264,8075,2602,916
404,10708,11396,8620,2019,-35
788,11384,12224,8805,-2175,-1208
2588,11848,13020,8840,-6307,-1229
4488,12312,13708,8558,-7529,-771
5328,12672,14436,7446,-6453,-32
5468,13084,15208,5075,-4063,770
5320,12816,14688,2357,-1206,855
5368,12396,13440,148,541,872
4956,11484,11828,-632,2293,922
3420,11116,10788,-23,3369,621
2252,11060,10692,819,2243,-215
2120,11492,11436,1615,37,-590
2740,11780,12116,1674,-2200,-1171
3448,11880,12128,1479,-2210,-1423
4300,11832,11568,1416,-1946,-1589
4920,11948,11704,1693,-1158,-1469
4864,11908,12092,1822,-245,-1048
4520,12164,11708,1540,117,-351
4376,11864,11644,1604,-447,-419
3384,11820,11508,1696,30,-326
3224,11724,11644,1726,-1145,-445
3096,11752,11832,1559,-1284,-828
2944,11908,11564,1208,-1612,-1480
3912,11900,11496,824,-1719,-1920
4908,11928,11516,798,-1183,-2020
5420,12084,11656,780,-432,-1566
5316,12168,11712,516,157,-879
5400,11996,11668,-7,449,5
4924,11604,11448,-217,74,997
3900,11608,11288,-236,-46,1457
3344,11856,11760,-436,-803,1233
3268,11740,11484,-907,-639,810
3708,11400,10796,-921,-400,243
3976,11224,10256,-498,-431,-207
4712,11204,10428,103,-740,-438
4968,11564,11304,425,-251,-173
4848,11584,11436,403,451,175
4376,11432,11248,384,412,529
3976,11404,11068,410,155,675
3820,11380,11076,534,-835,704
4124,11524,11148,625,-1196,723
4088,11744,11724,615,-874,534
4160,12152,12180,-6,-477,260
4472,12292,12016,-647,321,72
4604,12372,11876,-1122,374,60
4396,12500,12224,-1516,678,144
4392,12592,12512,-2067,536,171
4536,12460,12312,-2516,1082,479
4452,12252,12032,-2931,797,608
4216,11804,11292,-2796,847,650
4296,11276,10468,-2095,122,648
4532,11232,10712,-1444,-471,663
4476,11780,12072,-1439,-680,654
4412,11788,12532,-1919,-39,586
4584,11576,11896,-2238,341,473
4744,11496,12476,-2499,96,469
4404,11328,12384,-2874,714,551
4196,11576,12700,-3493,747,443
4384,11232,12588,-4051,859,483
4324,10824,12632,-4462,811,457
4412,10892,13312,-5339,476,462
4924,10828,14136,-7406,1541,258
5168,10764,14788,-10596,2799,114
5480,10524,13936,-14243,6557,-149
4920,9824,12984,-14599,7768,-575
4596,9180,13176,-14154,8377,-642
4028,10356,17212,-16948,7611,-1190
3832,11264,20016,-22321,10577,-1710
4020,10164,19332,-26366,14251,-2432
3580,7040,15124,-24816,19118,-2944
2996,5004,10872,-22332,18403,-2814
1172,3360,10084,-19109,13431,-2322
-1296,3768,16984,-17029,9624,-4056
-676,2940,15620,-14957,7904,-3792
-804,2864,16076,-12611,3992,-3878
-448,2692,17012,-10889,2611,-3619
-100,3276,18544,-9253,1672,-3670
876,3588,19888,-8169,1948,-3829
-1432,2784,18268,-3336,2889,3225
-1480,2368,17872,-2568,2738,3369
-1392,2276,17220,-1955,2192,3411
-948,1700,16880,-1486,2399,3617
-944,1560,16132,-739,3349,3949
-1676,1728,16148,-124,2812,4123
-1952,2144,17060,39,1159,3880
-1680,2444,17692,-357,468,3416
-1576,2348,18400,-703,-581,3434
2408,4040,20156,1916,-8843,-3820
14160,-2564,7960,-248,1790,63
16232,-616,9136,1038,-1015,1368
17140,-808,9068,906,-1051,2058
19256,-1064,8656,703,198,3501
19808,-1324,8460,895,3023,5798
16328,-448,9516,624,6342,6373
14448,-380,10408,-275,8011,5393
16420,-1060,9956,-1209,8457,5250
16480,-1180,10588,-2148,8710,6177
13868,-1080,10796,-3250,9744,6057
14312,-2036,8804,-3530,8870,5593
15436,-2484,8384,-2881,6716,6572
16928,-3108,8928,-2556,5525,9049
14196,-2760,8768,-1542,6091,10381
12384,-2368,9944,-1615,4748,10593
9220,-1812,13220,-3487,4606,8145
11064,-2456,12476,-5787,4641,5931
14068,-3968,8660,-5785,4761,5938
12500,-4112,8644,-4418,4520,6056
11396,-4180,8928,-3555,6030,4852
10952,-4556,7988,-2662,7839,3730
9724,-4648,8132,-1929,7463,2051
9544,-4488,8796,-833,5067,978
7800,-3872,10520,-1668,3013,-1656
9120,-4624,9768,-1683,1493,-3423
7244,-3840,7532,-1369,2194,-5751
5236,-4216,5388,-170,-1257,-10051
2744,-3336,4624,1757,-2577,-15468
4048,-2864,5464,3872,-6186,-21040
8580,-2208,6532,5750,-7525,-24114
11860,-1436,6676,7676,-5370,-25425
10512,-1532,3720,10604,-3078,-26538
9760,-772,888,15812,-5504,-27201
13400,-172,-1644,23259,-5402,-27243
18292,1320,-776,30528,-3746,-23653
17500,2680,-1876,32767,-1243,-19395
10636,5608,7224,32767,-20,-16918
1604,8816,23268,32767,-818,-21496
6260,8544,22140,23485,1381,-25580
13748,9052,9536,17996,1259,-25867
22736,10288,8908,19485,-5816,-21854
