A_0,A_1,A_2,G_0,G_1,G_2
560,10484,13044,-763,790,50
-148,10208,13520,-1324,-814,-932
1332,9676,12856,-409,173,1414
384,9720,12152,29,-96,461
-180,9364,12220,388,512,598
-1224,9660,12816,752,454,-205
-932,9608,13592,402,-287,-331
-248,9940,14792,233,-725,28
-504,10072,14164,500,143,-56
-8,10404,14652,-185,-810,-262
1504,10412,14728,-759,-1,412
988,10284,13504,-434,1599,361
-332,10160,12548,-274,831,363
-804,10064,13756,-673,-62,322
-640,9728,13148,-39,572,523
-1260,9564,12464,593,-227,42
-864,9592,12900,695,-498,-55
-132,9904,13652,633,-778,-819
844,10068,14284,503,-526,-344
360,10328,14384,352,292,-332
436,10008,14208,270,-230,38
-84,10180,13764,148,54,342
-400,9952,13368,92,-233,109
-1136,9820,13040,316,179,-277
92,9916,12628,512,49,-91
92,10088,13448,187,-12,-753
80,10168,13460,772,390,-374
648,10276,13896,561,-255,-8
-148,10132,14124,757,-297,59
-480,10228,13820,986,-624,354
-284,10152,13504,607,-877,535
-380,10128,13720,405,-656,-177
-272,10292,13748,517,-438,-486
1220,10288,13044,511,715,291
172,10472,13544,-113,-3,-672
252,10280,14096,-198,210,323
136,10380,13972,226,-27,476
-448,10112,13716,217,140,352
-944,10252,13972,-142,-386,218
-848,10012,13484,-229,118,-124
184,10064,13208,-188,46,-194
-220,10240,12864,-19,125,-317
304,10232,13312,-160,-438,18
-156,10244,14132,-421,-417,-81
272,10148,13904,-3,-10,331
-52,10480,13988,-177,41,16
236,10188,13664,-219,288,163
112,10320,13604,-260,133,205
48,10080,13696,-681,132,309
-208,9932,13208,18,266,587
-944,10016,12724,75,-161,-13
-320,9856,13124,0,-660,-33
424,10168,13596,103,-777,-283
972,10156,13432,340,537,462
28,10412,13820,113,-243,-433
500,10240,14292,-279,281,360
624,10124,13696,-29,503,612
-540,10204,13528,-336,215,533
-560,9964,13664,-553,-217,635
-400,9988,13240,-153,374,129
-468,10060,13384,-231,5,-665
68,9928,13764,-392,-110,-326
-52,9920,13532,-56,55,-572
480,9776,12764,343,-385,-14
724,10096,13252,476,-344,653
168,10200,14272,-289,-453,47
384,10148,14036,-15,573,619
452,10064,13096,207,762,388
48,10340,13624,-369,423,210
276,10304,13964,-9,174,618
-528,10360,14340,-638,708,177
-644,10040,13820,-332,-109,-61
760,10220,13444,-222,-173,444
-8,10176,13640,-650,46,245
-552,9940,13756,-495,286,229
-128,9836,13824,-510,220,64
-36,10168,13988,-1106,821,-52
-16,10080,14596,-1412,371,185
-76,10020,14416,-1559,722,605
-592,9864,13668,-1319,632,648
-1536,9720,13308,-1195,722,70
-1664,9636,12968,-642,-269,-604
-648,9780,13664,-989,-945,-791
-140,9836,13668,-447,-905,-476
868,9844,12924,217,-882,271
