14720,580,8400,42,-289,-338
15176,636,8908,91,-1165,-252
16372,456,8500,-108,-1108,-20
16056,224,7928,396,330,335
14792,168,8440,647,548,106
15228,276,8040,413,1414,-159
15200,268,7944,496,1623,11
13836,496,8688,607,1675,-85
13504,720,9360,421,127,-108
13632,928,9976,213,-591,-63
14216,964,9956,244,-632,286
15580,380,7680,3823,-4550,-227
16808,1564,8996,3816,-4715,62
8568,-4832,8212,-24987,18714,-2591
9888,-6256,6192,-21993,13729,-3346
10496,-7732,4852,-14770,10232,-2815
10632,-7704,6292,-7111,7958,-1756
9828,-6572,7992,-1944,4022,-784
9752,-5160,10780,1603,133,-399
7804,-352,18956,1033,-480,-618
8232,356,19244,-841,78,-1979
10804,-2292,15252,371,-585,-2064
12588,-4252,13280,4551,-713,-1139
-4196,6940,13644,6372,-21136,-14480
5124,11412,11160,245,-405,365
5256,11652,11112,89,-218,114
4880,11924,10864,-213,-2549,-1846
5692,8952,12620,-820,3281,2159
5744,6624,12936,-6326,7769,3711
7088,7036,14368,-7992,8217,4370
6636,7608,15424,-8824,10329,5068
5836,9028,16528,-10792,13414,5557
4396,8724,17484,-12876,12616,5258
3444,7372,15608,-13763,13105,5412
4520,6256,15456,-12182,5905,4424
6572,6264,16300,-12152,5774,5568
6172,5432,16316,-11539,5941,5576
5972,4624,15816,-11483,5824,5552
5116,4192,16140,-10981,8093,5360
4136,4816,17284,-11312,7629,5184
3220,5792,19788,-11805,7545,4820
2720,5852,20300,-11536,7872,4216
1940,5244,19460,-10538,3182,2260
776,4884,14944,-9863,3010,865
2860,3420,13220,-5778,-200,800
3072,4348,13232,-2852,-3973,295
4056,4612,14572,193,-8687,1164
5736,5072,16432,-251,-12775,1856
7824,4188,14768,-667,-14964,2701
8856,3280,12464,-296,-10701,3652
7800,4420,13848,-944,-3301,3905
5668,3848,13844,-1058,2307,3023
4900,2820,12412,-478,2858,1886
4904,1804,10364,716,3349,758
5196,1640,10992,2670,4630,-11
6356,2092,12608,3240,6473,-1186
6988,2092,13596,3023,9367,-1611
6596,2084,14136,1230,15185,-2249
6172,1984,15584,577,20708,-2713
5688,2384,16040,-118,24777,-2452
3772,1196,15568,-202,25959,-1773
2340,36,15736,94,23155,-1258
1596,384,15904,671,20644,311
-1072,-692,16320,2300,20312,861
-3112,-708,16920,3690,15538,975
-3108,-668,16620,5828,9847,1079
-1820,824,17552,7281,3808,1013
208,4328,21564,6170,-511,1732
2392,6568,22380,4092,-1360,2481
3820,7056,20980,681,1870,3157
3768,6872,18716,-1462,8130,3831
2228,6444,17628,-2613,12652,4483
892,5720,16680,-2545,13885,5470
-2360,5104,16384,-2508,13846,5858
-5628,4012,15104,-2097,11848,4562
-7396,3228,14104,-1181,9798,2191
-6404,2716,13968,314,7885,-409
-2804,2320,14200,1874,6780,-1596
-152,2840,16148,3539,6201,-514
192,4136,19224,3467,5895,1353
-712,4604,20168,1356,7125,2791
-2892,4180,19104,-16,8523,4087
-5924,4236,18384,-957,9864,4182
-7692,3844,17180,-837,8471,3117
-8388,3580,16348,-130,4232,2148
-6960,3328,15128,934,-1430,1060
-3648,3356,14936,1824,-4513,754
-576,3472,14692,2299,-3220,1390
-44,3204,14544,3265,666,2736
-2368,3896,15420,3993,5174,3248
-5072,4776,17304,3600,5819,2709
-5472,4768,17532,3010,2781,1916
-4592,4388,16360,3135,-1187,1542
-2632,4072,15648,4256,-4158,1439
-1848,4392,15508,4663,-3356,1657
-656,5028,16444,3223,-1925,1304
340,4796,15976,2290,1577,2051
848,4960,15536,2116,3274,3262
-5472,2640,10340,705,-27456,3441
-2520,5696,15864,1914,-10111,4399
-640,5132,16736,406,-15085,6363
-1028,6208,16292,-1100,-10858,5032
-1032,6096,17876,-4860,-7323,3179
-792,5344,18304,-4773,-12147,1261
128,5524,19268,-5124,-16973,1224
-2356,7488,23860,-9019,-23016,1238
-4780,5268,22152,-13733,-12752,-835
-548,1492,11820,-8561,-6967,-2846
276,3376,14356,-6905,-1073,-2598
228,2884,14624,-3703,801,-2289
-120,3308,13600,-4486,3252,-2619
832,3212,15188,-3573,1764,-1446
1868,3796,17544,-2722,2066,-1039
1616,3764,18324,-2401,1565,-1152
656,3300,17892,-1107,1219,-610
76,3184,16448,1179,-554,-242
-508,3652,17256,3227,-2833,-776
-1064,5180,22320,3673,-7295,-1761
1112,5568,23808,2094,-17978,-2102
3084,4644,21572,848,-19577,-1015
4180,4088,17868,489,-18476,-290
3532,2796,13864,708,-14448,-353
1704,3232,14132,1385,-12441,-739
2132,3396,13660,1345,-11590,-1644
1964,3348,14624,1607,-6421,-2101
3108,3788,17628,2133,-5715,-2119
2988,3696,18368,1748,-3875,-1560
3168,3364,17372,2229,-2151,-1212
3008,3072,14732,3615,-602,-798
2520,3132,14068,4734,677,-499
2092,3836,16456,4040,2885,-428
4500,4664,20628,872,5241,-1873
3668,3916,18160,-2260,6336,-1029
3876,4304,18320,-3210,7757,-1837
3532,3860,17532,-4357,6346,-1387
3876,3412,15128,-5482,3133,-567
3248,2964,14284,-6897,-86,-97
2984,2804,14880,-8430,-148,-628
2708,2904,14888,-7620,-1734,-599
3080,3236,14496,-5677,-2393,-742
3116,3480,15120,-2771,-1324,-601
3088,3320,15736,-396,-180,-526
3392,3304,15968,1690,1673,-413
3060,3332,18248,3271,1965,-84
3600,3740,19188,3086,-868,66
3292,3508,18680,3013,-3235,478
3184,3560,18576,2359,-5662,545
3080,3668,17856,2926,-8959,351
3180,3708,17928,4153,-7238,190
3080,3920,17984,3370,-3108,-238
3356,4048,16780,3360,-266,68
2904,4036,16236,3644,2331,953
2876,4272,15736,3760,2106,1341
600,3988,14368,2650,-4987,531
2256,4812,20088,4312,3819,-244
4396,4724,18524,3284,2332,-681
4116,4040,17368,2600,3187,-550
3632,4036,17080,2381,3725,-486
3840,3936,15504,-4913,-281,-1914
3648,3752,13576,-4994,-8816,-22
5172,4076,15712,-5306,-6117,253
5088,3760,16156,-6293,-7949,991
4204,3488,15536,-6595,-8779,1792
3936,3480,14988,-5526,-6389,2035
7392,964,13960,-5887,-6648,-5325
9220,12,10272,-3972,-5854,-5292
10236,-628,8260,193,-3942,-4924
9676,-280,8488,4401,-641,-4678
8944,56,9208,7924,1257,-4781
8972,1576,12972,10466,2579,-4464
8340,3800,20420,8372,3363,-3932
6988,5132,25240,1227,3107,-3836
8284,3648,19768,-1974,1744,-3485
560,-4584,16008,-1743,1853,357
-1740,-3980,17452,-3882,2067,-742
-1228,-3988,17588,-4122,1747,-826
-1464,-4084,17408,-4012,1291,-600
-1272,-4396,17180,-4519,1812,-674
-1052,-4816,15348,-3832,2079,-469
-2048,-4384,16872,-4012,2643,-610
-1840,-4836,16460,-4039,2565,-913
-1620,-5060,16072,-3504,1633,-808
-1388,-5260,15636,-2743,1793,-638
-2084,-4980,15960,-1931,1700,-551
-1912,-4920,17036,-2029,1080,-737
-1552,-5092,16256,-1720,894,-420
-2456,-4596,19080,-2632,1012,-604
-2256,-4680,19052,-4128,1044,-918
-1648,-5408,16404,-4413,693,-1015
-792,-5528,15484,-3910,1392,-753
-1952,-5736,15616,-3561,2787,-753
-1696,-6172,14048,-2701,1889,-823
-1496,-6344,13316,-1348,2525,-767
-1592,-6256,14008,235,2211,-532
-1840,-6004,14792,760,1781,-236
-2164,-5668,16200,319,2033,-448
-1824,-6304,13880,817,1978,-374
-1832,-6520,12792,2225,2205,-266
-2516,-6668,10428,3635,3250,-952
-1576,-7616,4748,8199,2807,-892
88,-7688,-800,15851,3333,149
480,-6640,-5656,24956,4202,1124
-1108,-4316,-8576,32767,6380,1598
-3948,-264,-10684,32767,4191,775
640,4860,-11768,32767,-1017,2243
-1236,12556,-4856,32767,-4344,5623
-4872,20108,7048,32767,-10777,7040
-6484,25448,20148,32767,-14762,5379
-5368,26572,27976,32767,-20320,-1012
1656,24176,26212,32767,-21314,-3667
2384,23168,23036,32767,-12525,-5790
-724,22612,26084,32767,-7181,-7156
-1080,23376,26320,32767,-3667,-7934
492,22080,26640,32767,-7345,-6450
2004,21380,22572,20814,-7494,-4026
1148,20172,18856,13448,-4420,-2721
1212,19112,13372,9756,-173,-2165
-244,18368,7184,10486,3010,-2267
-1632,17268,5128,16334,-2930,-2875
84,18056,8740,20137,-10550,-2182
224,19164,12636,20370,-12421,-1471
-284,19788,12680,15783,-13151,-1366
624,19352,11256,11541,-11485,-1420
-396,18052,12228,5989,-5921,-582
2004,18996,15828,-422,-8839,1509
7400,21388,25252,-7763,-9668,6394
15096,31312,32767,-28328,-4702,16701
18240,32767,32767,-32768,25795,30056
17568,32767,31792,-32768,32767,32767
14460,32767,7920,-32768,32767,24367
2984,24448,-12984,-32768,32767,11713
-6680,13492,-20300,-32768,32767,7676
-17924,7864,-8676,-32768,32767,1492
-19076,7888,9280,-32768,1172,-3486
-10920,8796,20128,-32768,-12709,-6786
-3300,8064,16564,-32768,-4477,-7672
-1100,4340,6948,-32768,7475,-8022
-3644,2608,4232,-32768,4847,-8234
-1440,-80,6592,-32768,18167,-7929
-204,-1972,4860,-31114,12709,-5768
-3308,-4320,3240,-24560,10638,-3800
-8084,-5292,4876,-17340,4895,-3295
-10160,-5160,9940,-14582,1760,-4969
-10984,-5356,11164,-12838,2652,-6537
-12932,-6168,8960,-11406,3971,-9971
-14424,-6732,6324,-8627,4535,-14005
-15912,-6320,8596,-7193,1928,-19093
-12140,-6180,8200,-5498,-2991,-23337
-7616,-5952,7744,-3645,-5580,-25173
-4816,-6580,5408,-1247,-5109,-25610
-5604,-6848,6660,2973,-3687,-25712
-7848,-5620,9608,6574,-3233,-26773
-6760,-6520,7132,11029,-5111,-28085
-2496,-5892,5156,15384,-8665,-28076
1340,-4740,6008,20633,-8516,-25981
3816,-4212,2992,26590,-7160,-23538
7632,-3400,-3452,32767,-5289,-19905
11776,-1032,-6592,32767,-2421,-14390
9956,3144,-6176,32767,1455,-8723
2292,6960,-2628,32767,5569,-5319
-5784,11936,13208,32767,2836,-5263
-4000,14268,32740,32767,-2926,-7270
5188,14668,32767,32767,-10121,-6610
11640,12116,32767,25914,-4934,-5692
10140,9332,19188,15552,10498,-2579
6144,7896,5440,18393,20390,-945
14812,9964,6120,24958,16573,7104
17348,13380,8028,29833,12928,18192
12884,14896,9956,32767,10215,29133
8224,17128,20564,32174,9406,32767
3796,21004,27492,22942,19686,32767
608,20136,30476,12261,20718,32767
-11908,22244,27892,-380,25587,32767
-13836,15656,12412,-5971,14865,29313
-13628,14428,15900,293,7785,25968
-18232,12716,20608,179,3768,18682
-13880,11500,20032,-906,-1858,12638
-10296,10608,17564,-2545,2109,7924
-10724,10068,19604,-4127,8618,3593
-6664,9836,20084,-7018,13525,24
-4120,9252,20432,-8959,12363,419
-8556,9920,15976,-11793,13026,-1464
-5820,8676,10480,-9017,3916,-2495
-1408,8680,10784,-6044,2107,-1375
-3064,7916,12432,-4865,1139,-813
-1616,7764,10800,-3627,523,-423
-592,7380,10420,-1407,1009,1085
-400,7944,13008,-421,18,2374
-964,7608,13680,-73,2010,4281
-5260,7808,13600,411,1385,3546
-5912,7748,12828,1231,1273,1966
-5592,8132,14700,1494,-172,41
-1688,8692,16912,582,-1391,-9
-3312,8816,17660,-660,1177,-432
-2780,8772,16168,-1296,930,-986
-3184,8784,15472,-1642,2534,-1780
-1564,8604,13840,-1643,-38,-1771
-1044,8216,11856,-920,1278,-979
-3476,8172,11928,327,820,-1258
-2304,8264,12216,1443,162,-1391
-1848,8308,13468,2068,-987,-1253
-1616,8576,14668,2192,-817,-851
-928,8912,15868,1787,-595,-129
-1928,9112,17604,117,-60,-10
-2420,8868,15820,-743,525,-64
-2724,8704,14564,-759,172,-460
-1796,8524,13888,-572,177,-406
-2656,8304,13432,-411,587,-667
-2640,8412,12912,119,744,-727
-2832,8300,12268,823,1202,-1095
-2648,8588,14668,1111,87,-1157
-1792,8996,15912,803,-358,-695
-1912,8932,16504,92,-492,-290
-1752,9056,16464,-631,-193,-113
-1784,8856,15836,-1358,920,289
-2808,8648,13592,-1254,1098,169
-3128,8380,12992,-467,752,28
-3380,8200,12964,195,309,-229
-2812,8152,12744,776,-242,-552
-2400,8260,13624,1123,172,-534
-2552,8388,14260,1314,686,-430
-2076,8608,15524,881,170,-365
-2040,8764,16052,450,439,151
-2644,8980,16952,-752,-479,207
-2152,8716,15372,-1230,-259,362
-3144,8564,14256,-982,260,275
-3200,8296,13556,-614,189,-149
-3368,8164,13192,-163,589,-596
-2812,8140,13004,401,-426,-833
-2464,8096,13380,1029,-110,-782
-1696,8388,13868,1160,-465,-423
-1556,8304,13404,1453,210,256
-2696,8672,15732,1219,-403,361
