A_0,A_1,A_2,G_0,G_1,G_2
-2636,-1368,-5156,32767,5279,3501
-5252,3524,-3548,32767,4553,2034
-9584,8860,2156,32767,518,-1562
-9352,13352,9216,32767,-6656,-5465
-5772,17176,15576,32767,-16541,-7899
-1212,19672,21804,32767,-21711,-9737
3716,21464,23588,32767,-21722,-9693
3988,22500,25664,32767,-20035,-12016
5160,23116,26268,32767,-12022,-13055
5768,22836,24760,32767,-5835,-12380
2476,22412,24232,32767,-602,-10615
1660,21880,24000,32767,-1636,-9121
1268,21516,22136,22700,-2051,-6772
2452,21116,19220,13917,-1863,-5143
3052,20744,17180,8167,-31,-3617
2276,21108,18500,3466,917,-1972
3684,21892,23264,-4664,788,-244
7592,25460,32767,-20657,2962,4981
10352,29156,32767,-32768,11182,13097
6860,32767,32767,-32768,28858,18632
788,31920,27344,-32768,32112,13715
-3468,24644,11652,-32768,32767,7959
-4216,18304,2728,-32768,21373,1940
1936,11468,-1316,-32768,19859,2315
-5160,8548,5656,-32768,17061,303
-6600,9240,16904,-32768,-1691,2882
-3476,7800,19020,-32768,6148,146
-6652,5324,14484,-32768,4249,-939
-10404,3884,14764,-32768,3062,-4022
-12648,1740,13432,-32768,1034,-8253
-11772,-1380,6476,-32768,-2307,-12395
-8352,-3756,1176,-32102,-8670,-14533
-4880,-7536,-4176,-25269,-10731,-15500
-4024,-9332,-4296,-16376,-11818,-15251
-5120,-9864,4216,-12628,-10391,-16573
-4936,-9036,4420,-9313,-8836,-17709
-5960,-9212,1784,-7021,-9225,-20550
-4660,-9372,864,-991,-12061,-22980
-272,-8428,1084,4760,-13313,-24216
5036,-8120,1120,10218,-14556,-23331
9608,-7472,2328,17563,-12668,-20380
9236,-6632,756,24945,-9096,-17352
8184,-5632,-5996,32767,-5415,-15525
9916,-2020,-8200,32767,-5755,-13705
14892,3680,-2860,32767,-4235,-9648
16552,9000,5556,32767,-1429,-4150
14200,13496,16832,32767,-807,838
13696,16072,29668,32767,-429,4547
16164,16784,32767,32767,3867,10075
17136,15120,32767,21234,16342,17454
11412,13908,32767,7204,23979,23024
6944,12440,27272,326,27507,24869
2736,10972,19260,-2020,30344,24849
-5340,8836,14260,29,26919,22175
-13676,7984,17004,520,18290,16006
-13788,7564,21484,-2227,9049,10935
-9892,8028,27008,-7192,5498,7131
-4212,8128,28896,-13714,4932,5637
-3724,8088,31556,-20983,9126,4683
-7888,7080,27652,-24236,13873,1825
-7984,4896,18080,-25067,12969,-1481
-9720,2376,12452,-22019,8951,-5334
-8088,216,8240,-17330,2768,-6548
-11960,-628,5876,-12971,-242,-9849
-10820,-2084,5044,-6929,-7406,-13414
-9264,-1452,6252,-1976,-9767,-17593
-8268,-924,10148,2437,-12739,-21524
-4188,844,14576,5266,-14155,-24403
-1768,1460,17296,4423,-13764,-26233
872,960,14708,6654,-14342,-26820
2992,1520,11460,9635,-13715,-26043
1644,1704,6864,13058,-13875,-26326
6784,1848,3004,18383,-15982,-25021
12580,2676,-32,25536,-15076,-21645
16064,4240,2680,32767,-12461,-16088
12668,6336,8720,32767,-7352,-11682
7544,7560,14756,32767,-3538,-9692
6792,8708,17704,32767,-1034,-8808
9116,10164,17768,29194,2150,-6766
11420,11384,16384,24376,5707,-2742
16784,11720,12268,20921,9251,3928
11472,12896,14084,20919,16511,8207
10948,14824,17456,20794,16296,12359
9036,15588,22328,16670,20747,16681
2032,15752,19036,7991,26310,18915
-4276,14720,21160,6302,18146,17973
-3240,15212,25428,157,13838,18356
628,14960,27376,-9016,13612,19159
-9200,13912,21200,-17129,20015,15943
-6584,11876,12396,-14924,10074,10704
-1804,11168,13484,-9971,9661,8921
-400,10664,16852,-7686,7705,8242
3756,9728,17740,-8149,6954,10706
3128,8852,17104,-8670,11884,13414
-4760,8212,14184,-8061,15400,12900
-11492,8260,12076,-7410,12392,9645
-11348,6924,8056,-6331,5221,3115
-6436,6112,8044,-2507,-3197,-612
-828,6108,13016,724,-4125,-958
-284,6664,16092,1256,-1817,-963
-660,6892,16196,1108,430,-973
728,7456,18248,96,559,-598
628,7348,16788,-1428,1305,166
-332,6784,13972,-1434,-897,507
-1072,6880,14592,-509,-1569,308
-396,6740,13664,-559,-993,-84
-1344,6848,13228,601,-52,-916
324,7112,13648,1607,-907,-1732
1412,7440,14772,2251,-142,-1167
1392,7560,14668,2432,-231,-601
1380,7888,15672,2709,-714,104
412,7836,15992,2252,-431,359
500,8140,17552,786,-1244,333
-624,8112,17140,-525,-398,214
40,7712,15404,-1031,-1205,-487
24,7524,14212,-842,387,-404
-852,7372,13912,-83,489,-713
108,7392,14508,426,-126,-1355
264,7320,14120,754,856,-1048
220,7760,14884,1312,-163,-969
984,8020,16000,1219,-645,-693
1048,8052,15252,1005,-183,-64
-68,7980,14676,1261,-280,165
-984,7964,15080,1568,-630,-315
-616,8260,16364,1200,-1094,-936
800,8260,16144,380,-293,-839
480,8348,14588,468,512,-559
336,8288,14900,921,-223,-683
1356,8524,15516,804,213,-229
920,8132,14820,744,753,372
-192,7928,14036,1099,-170,197
-368,7924,14776,1398,-586,-15
-36,8024,15468,1209,-766,-325
-660,8096,15540,826,-303,-721
-168,8444,16068,95,-783,-1117
-124,8544,16332,-273,167,-1043
1060,8576,15940,-850,-762,-1030
