A_0,A_1,A_2,G_0,G_1,G_2
-228,8156,14952,-313,-90,-458
-696,8136,14588,-144,-9,-548
-288,8212,14696,-164,-282,-799
76,8260,14684,26,202,-657
40,8384,14832,188,14,-546
116,8492,15104,325,-281,-590
-216,8640,15512,160,-684,-630
1724,8672,15532,-606,-1017,-5
536,8332,14844,-483,176,593
-292,8256,15012,-341,-471,231
-732,8332,15104,-942,193,-181
84,8172,13992,-749,85,-262
-148,8172,14400,-326,-59,-295
-324,8132,15256,-315,190,-569
208,8216,14724,-338,381,-386
-76,8100,14684,-327,228,-333
196,7936,14580,49,-257,-270
-160,8172,14752,190,-332,-124
-264,8164,15120,297,-504,-237
-604,8272,15656,-20,-504,-494
-716,8528,15856,-434,-576,-1053
936,8160,14560,-565,-139,-694
-56,8076,14336,-194,369,-476
-188,8248,14864,41,-100,-635
620,8184,14664,283,-73,-294
380,8268,14896,255,-155,119
220,8272,14612,243,-554,259
268,8032,14852,574,-483,417
-492,8172,15012,495,-144,167
-384,8184,15084,359,-197,-140
-240,8192,15764,-60,-85,-328
216,8384,15436,-526,-128,-363
432,8288,15532,-610,-269,-144
-452,8268,15624,-809,38,-245
408,8116,14760,-800,-204,-251
-268,7920,14296,-453,308,-170
76,7948,14104,-23,-281,-332
328,8160,14764,-114,192,-101
724,8312,15264,-484,77,103
312,8204,15224,-541,154,371
308,8216,15216,-422,-366,488
-88,8128,15388,-218,-449,401
-616,8192,16312,-380,-798,104
-180,8380,16656,-1013,-664,-32
-96,8128,15748,-1259,150,-124
-476,8052,15072,-1119,282,-432
-556,8156,14204,-1086,374,-766
-292,8056,14500,-1158,-418,-832
-720,8160,15992,-1371,-617,-1009
-1000,7808,15624,-2014,-671,-1199
-456,7736,14732,-1706,-1188,-1649
-268,7880,15068,-1197,-1371,-1755
0,8172,15636,-1024,-1833,-1804
320,8212,16116,-886,-1801,-1505
324,8196,16140,-431,-2067,-1338
1316,8088,15260,-43,-1525,-616
976,7612,14040,352,-685,-321
892,7536,13752,660,-126,-50
-364,7852,14648,-276,238,-339
-220,7512,14988,-1314,-758,-450
-240,7456,14940,-1460,-903,-544
-556,7196,14572,-1018,-1908,-682
728,7304,14456,-586,-2116,-658
1000,7588,15212,-480,-1170,-659
1612,7704,15040,-248,233,-183
992,7712,15128,-61,856,-23
712,7928,15772,-84,781,263
468,7724,15464,-50,285,482
236,7584,14824,259,-552,647
-44,7508,15212,456,-1079,651
-120,7736,15748,297,-673,373
-500,7820,16032,-113,-453,-277
-320,7712,15560,-192,-474,-685
-64,8028,16408,-359,-992,-925
1176,8016,16312,-1168,-1066,-255
932,7980,15896,-1156,-774,169
1332,7704,15076,-1031,-583,686
1064,7668,14980,-794,94,879
528,7284,14692,-490,293,896
-340,7408,15200,-218,198,714
-976,7564,15976,-387,-917,348
-820,7388,16136,-285,-1481,-132
-1336,7564,16772,-480,-1902,-887
-1460,7764,17216,-685,-2804,-1843
-428,7876,17492,-1525,-3644,-2427
1556,7588,16384,-1985,-3776,-2183
2528,7216,14728,-2653,-2272,-1424
3032,6784,13464,-3250,-417,-447
2056,6228,12932,-3234,1690,-11
328,6068,13212,-2199,2316,-83
-52,6376,13536,-1300,1061,-188
-136,6600,14152,259,-414,-179
-80,7056,15492,1479,-2459,-180
380,7880,17496,1695,-3365,-442
788,8540,19572,206,-2928,-724
896,8740,18948,-1497,-1816,-1145
1880,8468,17172,-3135,-1608,-970
3016,8800,18840,-6465,-1377,-67
2660,8456,19316,-9461,950,997
800,8532,19584,-11696,2911,1198
-8,8028,19832,-14165,2663,676
88,7800,17284,-14640,3126,-17
584,6804,15956,-14122,1072,-132
60,6256,15984,-12754,-355,-234
432,6368,16920,-13184,-1816,112
1276,6176,19064,-14510,-2434,243
1896,6588,22012,-18350,-1041,771
2448,6108,22072,-22415,1633,1467
3028,5232,17344,-24514,3323,2299
2176,2624,11488,-22535,4571,2803
176,1376,10888,-18489,3731,2693
-2028,728,12776,-14106,2272,1776
-2984,768,15132,-11314,91,517
-2412,776,17172,-9919,-2535,-673
-1560,456,17212,-8497,-4165,-1318
1440,976,18472,-8551,-6454,-512
5268,1368,18516,-12189,-3921,1643
5488,356,17412,-15410,236,3360
2688,-252,16852,-15757,4250,4224
500,-1236,14596,-16539,5327,3878
-728,-2748,12408,-15042,3757,3255
-1100,-3188,11460,-10591,2408,2736
-1448,-2972,14208,-7879,1025,1597
-1900,-2968,15916,-5534,1014,907
-2900,-2788,16304,-4881,49,-516
-1832,-3232,16180,-3990,-1583,-1400
40,-3376,14864,-3194,-2691,-1540
1676,-3368,14756,-2238,-2990,-875
2428,-2980,16388,-2493,-1359,-389
2852,-2604,17560,-2677,895,396
2280,-2668,17020,-2747,3051,953
164,-3240,15520,-1818,3542,829
-1116,-3268,15184,-65,1662,253
-740,-3436,15652,1864,441,-492
-96,-2840,16772,2774,-1442,-877
336,-2444,19060,2190,-1564,-888
64,-2564,17540,1686,-734,-1182
600,-2720,17192,1763,-1346,-1606
2244,-2300,17512,1186,-1193,-1235
2232,-1620,20036,-855,-807,-408
2056,-2052,18708,-1618,651,404
696,-2872,16096,-1350,1025,257
772,-3180,14976,68,315,57
1444,-3152,15544,1302,557,231
696,-2896,15664,2251,598,267
32,-2208,18008,1598,400,-35
-356,-1780,19596,646,474,-551
780,-1808,18756,-304,-306,-610
1360,-1640,19964,-1347,-1056,-166
1332,-1696,19476,-1924,-774,339
1508,-2328,17360,-1956,-268,546
1368,-2924,15640,-921,161,438
1468,-3256,15128,243,397,502
968,-3312,14972,1416,794,590
548,-2756,16964,1344,338,635
44,-2680,17596,1150,665,406
380,-2464,17592,319,12,317
400,-2100,18592,-242,-492,202
924,-2132,19456,-1159,-957,348
976,-2460,18252,-1287,-250,566
668,-3152,16364,-928,111,466
340,-3324,15944,-321,222,256
416,-3236,16360,-202,563,350
-176,-4536,18608,-2314,141,-602
508,-4568,18192,-2489,-569,-812
1912,-4928,17748,-2278,-767,-522
1388,-5276,16988,-1760,29,-379
708,-5528,15992,-1281,415,-464
968,-5472,16068,-1139,476,-538
880,-5424,16204,-1232,505,-456
1748,-5384,16160,-1369,-185,-32
1704,-5624,15552,-869,-267,207
1284,-5432,15944,-220,-738,194
-56,-5920,18032,-5533,334,900
488,-6124,18024,-5753,-406,1108
644,-6256,17392,-6227,-948,1416
1512,-6176,18400,-7916,-609,1877
1248,-6628,16836,-8906,1037,2239
-64,-6976,16020,-10464,1683,1882
-400,-8080,13848,-10642,2672,1503
-880,-8500,13440,-10914,2186,833
-1156,-8752,13156,-9881,1751,393
-832,-8516,14328,-10361,475,-141
-532,-8540,14944,-10298,309,-467
1860,-9196,12344,-9133,189,136
812,-9232,14548,-8503,1204,302
1432,-9736,12544,-8252,1994,1106
-576,-10372,10664,-7164,3142,882
-456,-10896,8028,-4945,3193,633
276,-11528,6604,-475,3303,511
680,-10980,8392,2681,3052,934
68,-10520,10060,4141,3887,1518
-1396,-10980,7736,6763,5165,1808
-2796,-10868,5080,10606,4650,1220
-1012,-10368,2576,16138,3748,1059
632,-9524,-1532,24285,3551,1488
1920,-8528,-4880,32767,3340,2916
584,-5692,-6612,32767,4293,3777
