1004,3516,11904,4230,3364,-2648
1152,6704,14404,4918,2576,-2677
2064,10080,16028,2837,1497,-1983
5252,14532,20284,1437,-2602,-76
3748,13772,20572,-2103,1663,1864
1048,10944,17704,-1397,3122,429
-1616,9872,16048,-1873,5305,-1595
-3204,10072,16748,-3171,2048,-3039
-2348,9652,16092,-4072,-1820,-1466
1252,8680,11220,-2419,5219,-5676
2880,10664,13284,636,-770,645
2544,11188,12496,1297,-223,48
4228,4916,13180,2685,-408,-261
6840,9028,15116,-3743,3585,3564
344,9256,13988,-1281,21,-1069
68,9556,13988,139,12,58
3688,7692,12244,3128,-2389,-3072
2520,10540,13856,-774,497,-79
4800,9736,13188,69,-191,28
5612,7188,13844,-1232,827,533
10656,11156,16072,3110,324,7606
6824,4692,13004,3719,-2405,-385
-684,9220,15176,-20,-2816,-538
12244,9232,11576,1251,-6918,721
4732,-1144,9684,-2813,443,5785
5452,10008,15888,1119,2186,468
-2368,11120,15392,4900,9881,-3727
-2488,11824,16420,1454,7521,-2702
2028,10824,14352,-1623,5692,-1977
2920,8648,11740,-927,6447,-1621
1876,8360,11728,857,5843,-1780
432,9368,13104,2472,7128,-2416
-1700,10416,15408,3056,6284,-3388
-1780,9996,14076,889,6030,-3639
-268,8692,11364,2378,2661,-4000
1768,8928,11500,5105,1718,-2928
-700,10924,14492,7323,730,-3535
-524,13412,15884,6778,-585,-3869
2792,14240,16248,5938,-1481,-3014
2476,13588,16020,4608,572,-1937
1704,12572,15092,2569,-125,-1205
440,11024,13652,1278,454,-1055
680,12116,15340,707,-662,-880
464,10704,13456,78,731,-631
488,10680,11460,-1294,-243,-1455
3628,11940,13756,-2304,-299,-78
1320,11136,12656,-1809,3122,-1313
728,10864,13120,-2106,3547,-1598
1660,9872,12684,-842,3929,-1714
-1044,11700,15340,-2310,5830,-2643
-172,10352,13332,-1672,1280,-1610
-220,10896,13808,-1495,-3,-1348
-420,10420,13344,-668,-409,-700
-560,10336,13216,-87,-1833,-381
-60,10364,13368,677,-2323,-28
212,10576,13064,1034,-3067,-88
148,11144,12888,975,-3813,-293
452,10472,13056,1290,-3506,-1067
720,10836,12968,3769,-2871,-1371
1828,10436,13836,2406,-3460,-866
1412,10740,13252,1927,-1484,-657
-220,10052,13912,1463,-937,156
