A_0,A_1,A_2,G_0,G_1,G_2
-1936,-5452,18124,-5462,-91,-322
-620,-5604,18480,-7077,-1033,-227
564,-5728,18180,-7941,204,447
288,-6508,15712,-7699,2258,963
-528,-6820,15044,-7275,2266,1279
-1240,-7044,15076,-6667,2679,1151
-1324,-7352,13344,-5952,2548,1360
-2488,-8024,12428,-4393,2356,829
-3808,-6452,16940,-5704,151,-410
-2804,-7136,17988,-6250,1473,-674
-2676,-7208,16572,-6600,995,-1393
-384,-7916,15632,-6539,23,-1093
568,-8748,13600,-4915,1465,-14
-32,-9632,9660,-1599,3147,913
-512,-10020,7260,2109,3858,1293
-1080,-9176,8892,5190,2835,1626
124,-8716,10412,6946,3920,2765
64,-8864,8076,9994,5755,4129
-2804,-6920,11916,11017,3730,4111
-3428,-6996,14904,12262,3878,4133
-1644,-7360,10448,15804,3417,4990
-2348,-7880,5336,21278,2831,4802
-1620,-8776,-4328,32767,1646,5749
-2916,-5172,-8984,32767,-1497,5621
-3212,268,-7000,32767,-6288,4474
-6140,6112,-1372,32767,-10102,1496
-8452,12112,7816,32767,-15599,-2844
-4520,13568,15784,32767,-26073,-5295
1788,16180,17396,32767,-27797,-5389
2388,19000,18428,32767,-28780,-7747
2768,21272,22060,32767,-27906,-10324
2436,22484,26604,32767,-19054,-12870
3080,22692,31248,32767,-14129,-12610
4076,20812,29608,32767,-8912,-10015
3452,19036,24204,17464,-5232,-6981
4904,17236,16480,9708,-3668,-5377
5240,16708,13036,7414,-366,-3400
3156,17476,12752,7506,1403,-2406
2872,17760,14236,7156,1271,-1679
2824,18320,14800,4928,1507,-649
3044,18424,14448,3335,1806,303
2272,17292,15772,646,2283,1881
1808,18964,20876,-6117,861,3374
6572,19768,29728,-18004,873,7452
12108,26240,32767,-32768,8038,15729
12420,32767,32767,-32768,32767,24338
6732,32767,29572,-32768,32767,18070
5340,21660,1028,-32768,32767,14648
-1828,16224,-3524,-32768,32767,5253
-10056,11536,-1384,-32768,32767,-963
-9476,7484,4296,-32768,9906,-1909
-6680,5456,10520,-32768,4778,-1446
-12944,4508,13452,-32768,5103,-5106
-14356,3404,15688,-32768,-637,-8922
-9132,2340,15804,-32768,-1818,-10997
-3660,-524,6860,-32768,2289,-11757
-1524,-4560,-1944,-30694,1997,-13255
-5192,-8016,-1036,-21520,-40,-14046
-7948,-8016,4548,-14459,-2514,-15041
-10328,-7152,8408,-10670,-3021,-17703
-11748,-8104,4720,-7284,-4467,-21159
-9404,-7780,2692,-4202,-9697,-24433
-5180,-6940,5216,-546,-13598,-26602
-504,-7564,4068,5966,-16260,-26703
5160,-7356,3216,13995,-17295,-24721
8620,-7284,3104,22448,-16668,-20883
12072,-4408,5328,27504,-14267,-16264
14560,-5920,208,30982,-8110,-11265
10704,-8468,-4616,32767,-3387,-5043
9048,672,-9980,32767,-5998,-6267
9976,4344,-1792,32767,-6582,-4800
11568,12336,11712,32767,-7163,-277
13292,17016,27504,32767,-7175,2497
13940,17152,32767,30995,-4550,6641
18772,12108,32767,21052,8728,16734
15616,11176,24880,19655,22443,21942
7992,10680,13484,17626,27800,23478
-2168,10636,13088,16644,24207,21099
-14244,11512,23376,12240,21510,15937
-21052,10184,27116,6915,16225,7877
-12876,8772,24076,1709,2422,2578
-1416,8352,22880,-1758,-4157,3066
1416,9740,28552,-8155,373,5510
-3228,11692,32767,-18642,8472,4054
-1324,11516,32767,-28185,17591,3862
-1336,8744,24700,-27669,23759,3519
-4904,5960,12572,-20379,19475,3037
-15108,4572,7364,-18566,15072,-972
-21808,312,2184,-13790,2206,-10226
-14796,-320,4020,-3368,-14726,-16185
-9464,-144,8532,-389,-9183,-14813
-8152,304,9080,5065,-15377,-18712
-5988,640,7808,9854,-16931,-20520
-352,2068,9572,12281,-17689,-21750
1756,3032,13476,11592,-17061,-23878
4268,3452,17264,8685,-14056,-21672
3616,2236,12272,11892,-9351,-20335
3016,1432,4120,17114,-8808,-19853
5060,2112,260,21995,-10611,-18486
10596,4668,2568,27726,-12342,-14802
15532,6316,4504,32767,-8903,-8795
12304,8968,6012,32767,-6131,-6088
8168,10904,9860,32767,-3555,-4604
8416,13032,15456,32767,-2039,-2910
8384,13720,18496,28889,4282,-1276
6668,14896,18876,26371,8910,1824
10628,15664,18008,22349,9796,6687
7544,16760,19208,16399,13697,8359
5652,16496,20164,12169,17792,11210
3760,16364,17172,9040,20913,12714
-2276,15656,15476,4856,21714,12976
-1916,15352,17152,2203,11565,13153
780,15896,20564,-2491,11832,15984
-3380,15020,18940,-4476,13564,15603
-4408,13848,14668,-4228,11280,14510
-208,12276,12076,-2584,11819,13653
-680,13104,15032,-3670,14114,11528
-6284,13268,17020,-4700,18081,9688
-11224,12416,16152,-6798,17314,5008
-6168,11520,14604,-8637,8161,4048
-4108,10312,13084,-8543,5621,4358
-5712,9688,10608,-5160,1243,3949
-4132,9728,10576,-3797,-3550,3846
-1492,9280,11284,-1756,-2112,2755
-264,9964,12936,-1188,-599,1816
-544,9704,14328,-1807,263,690
-1448,9596,14868,-897,2593,-284
-1820,9532,14272,-1610,1209,-1203
-1740,9288,13328,-1324,585,-688
-60,9280,12440,-933,-1244,-439
1332,9312,11548,-576,-1593,1396
1376,9292,11492,162,-1378,907
1300,9340,11760,899,-432,1097
-592,9768,13424,985,277,-925
-888,9496,13456,1345,1081,-874
-972,9960,14628,804,-290,-1135
-760,10032,15460,259,-561,-830
-144,10380,15512,-339,-279,-521
1980,10200,13912,-490,129,302
2580,10316,12956,-697,927,726
384,10068,12452,-550,1935,388
-1568,9904,12836,-279,690,-564
-844,9848,12796,360,263,415
-312,9644,12100,1322,-330,542
-1456,10204,13640,959,-1530,-260
-456,10712,15936,-167,-1617,-287
232,10856,16644,-891,608,-721
-16,10532,14644,-810,593,-1259
